Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2005,09,497000,015,    ,999,99999, , ,06259      ,1,1,12,Pomfret town,17,17,3574768,0,0,0,0,0,0,0,0,0,17,17,3574768,0,0,0,0,0,0,0,0,0
2005,09,501000,007,    ,278,25540, , ,06480      ,1,1,12,Portland town,42,42,6730440,0,0,0,0,0,0,0,0,0,42,42,6730440,0,0,0,0,0,0,0,0,0
2005,09,505000,011,    ,999,35980, , ,06360      ,1,1,12,Preston town,41,41,10683903,0,0,0,0,0,0,0,0,0,41,41,10683903,0,0,0,0,0,0,0,0,0
2005,09,509000,009,    ,408,35300, , ,06712      ,1,1,12,Prospect town,33,33,6108000,0,0,0,0,0,0,0,0,0,33,33,6108000,0,0,0,0,0,0,0,0,0
2005,09,513000,015,    ,999,99999, , ,06260      ,1,1,2,Putnam town,34,34,3809809,0,0,0,0,0,0,0,0,0,1,1,180000,0,0,0,0,0,0,0,0,0
2005,09,517000,001,    ,408,14860, , ,06875      ,1,1,12,Redding town,11,11,6662380,0,0,0,0,0,0,1,120,38000000,11,11,6662380,0,0,0,0,0,0,1,120,38000000
2005,09,521000,001,    ,408,14860, , ,06877      ,1,1,12,Ridgefield town,34,34,18380885,0,0,0,0,0,0,0,0,0,34,34,18380885,0,0,0,0,0,0,0,0,0
2005,09,525000,003,    ,278,25540, , ,06067      ,1,1,12,Rocky Hill town,82,82,11963009,0,0,0,0,0,0,0,0,0,82,82,11963009,0,0,0,0,0,0,0,0,0
2005,09,529000,005,    ,999,99999, , ,06783      ,1,1,12,Roxbury town,15,15,6335200,0,0,0,0,0,0,0,0,0,15,15,6335200,0,0,0,0,0,0,0,0,0
2005,09,533000,011,    ,999,35980, , ,064203809  ,1,1,12,Salem town,28,28,6424127,0,0,0,0,0,0,0,0,0,28,28,6424127,0,0,0,0,0,0,0,0,0
2005,09,537000,005,    ,999,99999, , ,06068      ,1,1,0,Salisbury town,13,13,6422929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,541000,015,    ,999,99999, , ,06264      ,1,1,12,Scotland town,11,11,1921500,0,0,0,0,0,0,0,0,0,11,11,1921500,0,0,0,0,0,0,0,0,0
2005,09,545000,009,    ,408,35300, , ,06483      ,1,1,12,Seymour town,96,96,12366000,0,0,0,0,0,0,0,0,0,96,96,12366000,0,0,0,0,0,0,0,0,0
2005,09,549000,005,    ,999,99999, , ,06069      ,1,1,12,Sharon town,15,15,6406000,0,0,0,0,0,0,0,0,0,15,15,6406000,0,0,0,0,0,0,0,0,0
2005,09,553000,001,2030,408,14860, , ,06484      ,1,1,12,Shelton,134,134,20360360,0,0,0,0,0,0,2,340,15496100,134,134,20360360,0,0,0,0,0,0,2,340,15496100
2005,09,557000,001,    ,408,14860, , ,06784      ,1,1,0,Sherman town,23,23,6050050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,561000,003,    ,278,25540, , ,06070      ,1,1,12,Simsbury town,60,60,10293552,0,0,0,0,0,0,0,0,0,60,60,10293552,0,0,0,0,0,0,0,0,0
2005,09,565000,013,    ,278,25540, , ,06071      ,1,1,12,Somers town,35,35,5051686,0,0,0,0,0,0,0,0,0,35,35,5051686,0,0,0,0,0,0,0,0,0
2005,09,569000,003,    ,278,25540, , ,06074      ,1,1,10,South Windsor town,66,66,6500742,1,2,170000,0,0,0,0,0,0,44,44,5120150,1,2,170000,0,0,0,0,0,0
