Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,01,142000,133,0505,999,99999, ,35553      ,3,6,12,,Double Springs town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,146000,053,0515,999,99999, ,36426      ,3,6,12,,East Brewton,1,1,120000,0,0,0,0,0,0,0,0,0,1,1,120000,0,0,0,0,0,0,0,0,0
2003,01,147000,051,0520,388,33860, ,36024      ,3,6,12,,Eclectic town,4,4,477000,0,0,0,0,0,0,0,0,0,4,4,477000,0,0,0,0,0,0,0,0,0
2003,01,149000,031,0530,999,99999, ,36323      ,3,6,12,,Elba,7,7,682000,0,0,0,0,0,0,0,0,0,7,7,682000,0,0,0,0,0,0,0,0,0
2003,01,151000,127,0537,142,13820, ,35554      ,3,6,12,,Eldridge town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,155000,031,0545,999,99999, ,363311000  ,3,6,12,,Enterprise,196,196,22339784,0,0,0,0,0,0,0,0,0,196,196,22339784,0,0,0,0,0,0,0,0,0
2003,01,161000,005,0560,999,99999, ,360720219  ,3,6,12,,Eufaula,15,15,1648340,0,0,0,0,0,0,0,0,0,15,15,1648340,0,0,0,0,0,0,0,0,0
2003,01,163000,063,0570,999,46220, ,35462      ,3,6,12,,Eutaw,1,1,56720,0,0,0,0,0,0,0,0,0,1,1,56720,0,0,0,0,0,0,0,0,0
2003,01,165000,035,0575,999,99999, ,36401      ,3,6,12,,Evergreen,4,4,565000,0,0,0,0,0,0,0,0,0,4,4,565000,0,0,0,0,0,0,0,0,0
2003,01,166000,099,0580,999,99999, ,36439      ,3,6,12,,Excel town,4,4,259525,0,0,0,0,0,0,0,0,0,4,4,259525,0,0,0,0,0,0,0,0,0
2003,01,167000,073,0590,142,13820, ,35064      ,3,6,12,,Fairfield,11,11,1247110,0,0,0,0,0,0,0,0,0,11,11,1247110,0,0,0,0,0,0,0,0,0
2003,01,168000,003,0595,516,99999, ,36533      ,3,6,12,,Fairhope,304,304,52395901,2,4,127200,0,0,0,0,0,0,304,304,52395901,2,4,127200,0,0,0,0,0,0
2003,01,170000,103,0600,290,19460, ,35622      ,3,6,12,,Falkville town,0,0,0,0,0,0,0,0,0,1,6,100000,0,0,0,0,0,0,0,0,0,1,6,100000
2003,01,172000,057,0610,999,99999, ,35555      ,3,6,0,,Fayette,7,7,839600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,176000,053,0630,999,99999, ,36441      ,3,6,12,,Flomaton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,177000,039,0635,999,99999, ,36442      ,3,6,12,,Florala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,178000,077,0640,999,22520,1,35631      ,3,6,12,,Florence,111,111,13579339,2,4,173950,0,0,0,17,156,4900185,111,111,13579339,2,4,173950,0,0,0,17,156,4900185
2003,01,179000,003,0645,516,99999, ,36536      ,3,6,12,,Foley,318,318,34513472,0,0,0,0,0,0,5,80,3341973,318,318,34513472,0,0,0,0,0,0,5,80,3341973
2003,01,181000,085,0650,388,33860, ,36032      ,3,6,0,,Fort Deposit town,1,1,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,182000,049,0655,999,99999, ,359671994  ,3,6,12,,Fort Payne,46,46,5334000,0,0,0,0,0,0,0,0,0,46,46,5334000,0,0,0,0,0,0,0,0,0
2003,01,184000,087,0658,999,99999, ,36083      ,3,6,0,,Franklin town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,185000,099,0660,999,99999, ,36445      ,3,6,12,,Frisco City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,188000,073,0675,142,13820, ,35068      ,3,6,11,,Fultondale,109,109,10352284,0,0,0,0,0,0,0,0,0,106,106,10015166,0,0,0,0,0,0,0,0,0
2003,01,189000,049,0680,999,99999, ,35971      ,3,6,0,,Fyffe town,4,4,248000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,190000,055,0685,999,23460,1,35999      ,3,6,12,,Gadsden,30,30,2127526,0,0,0,1,4,150000,1,56,1900000,30,30,2127526,0,0,0,1,4,150000,1,56,1900000
2003,01,195000,043,0700,999,99999, ,35070      ,3,6,0,,Garden City town,3,3,365409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,196000,073,0705,142,13820, ,35071      ,3,6,12,,Gardendale,259,259,29339330,0,0,0,0,0,0,0,0,0,259,259,29339330,0,0,0,0,0,0,0,0,0
2003,01,199000,061,0720,222,20020, ,36340      ,3,6,0,,Geneva,8,8,510743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,201000,013,0725,999,99999, ,36033      ,3,6,12,,Georgiana town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,207000,055,0745,999,23460, ,35905      ,3,6,12,,Glencoe,13,13,1033060,0,0,0,0,0,0,0,0,0,13,13,1033060,0,0,0,0,0,0,0,0,0
2003,01,211000,037,0755,999,99999, ,35072      ,3,6,12,,Goodwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,212000,107,0760,999,99999, ,35466      ,3,6,0,,Gordo town,3,3,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,213000,069,0765,222,20020, ,36343      ,3,6,12,,Gordon town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,215000,095,0775,999,99999, ,35747      ,3,6,12,,Grant town,3,3,335000,0,0,0,0,0,0,0,0,0,3,3,335000,0,0,0,0,0,0,0,0,0
2003,01,216000,073,0780,142,13820, ,35073      ,3,6,12,,Graysville,2,2,189250,0,0,0,0,0,0,0,0,0,2,2,189250,0,0,0,0,0,0,0,0,0
2003,01,218000,065,0785,999,46220, ,36744      ,3,6,12,,Greensboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,219000,013,0790,999,99999, ,36037      ,3,6,12,,Greenville,17,17,2671560,0,0,0,0,0,0,0,0,0,17,17,2671560,0,0,0,0,0,0,0,0,0
2003,01,221000,025,0800,999,99999, ,36451      ,3,6,12,,Grove Hill town,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
2003,01,223000,093,0805,999,99999, ,35563      ,3,6,12,,Guin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,224000,003,0810,516,99999, ,36542      ,3,6,12,,Gulf Shores,331,331,49496054,3,6,620368,7,28,2698350,15,326,26725000,331,331,49496054,3,6,620368,7,28,2698350,15,326,26725000
2003,01,225000,095,0815,999,99999, ,35976      ,3,6,12,,Guntersville,23,23,3803000,0,0,0,0,0,0,1,6,380000,23,23,3803000,0,0,0,0,0,0,1,6,380000
2003,01,226000,089,0817,290,26620, ,35748      ,3,6,0,,Gurley town,1,1,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,227000,093,0825,999,99999, ,35564      ,3,6,0,,Hackleburg town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,231000,133,0830,999,99999, ,35565      ,3,6,12,,Haleyville,2,2,255000,0,0,0,0,0,0,0,0,0,2,2,255000,0,0,0,0,0,0,0,0,0
2003,01,232000,093,0835,999,99999, ,35570      ,3,6,0,,Hamilton,2,2,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,233000,049,0840,999,99999, ,35989      ,3,6,12,,Hammondville town,6,6,275000,0,0,0,0,0,0,0,0,0,6,6,275000,0,0,0,0,0,0,0,0,0
2003,01,234000,043,0845,999,99999, ,35077      ,3,6,12,,Hanceville,9,9,789000,0,0,0,0,0,0,0,0,0,9,9,789000,0,0,0,0,0,0,0,0,0
2003,01,235000,117,0850,142,13820, ,35078      ,3,6,12,,Harpersville town,4,4,850000,0,0,0,0,0,0,0,0,0,4,4,850000,0,0,0,0,0,0,0,0,0
2003,01,236000,061,0855,222,20020, ,36344      ,3,6,0,,Hartford,7,7,622400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,237000,103,0860,290,19460, ,35640      ,3,6,12,,Hartselle,138,138,10894868,0,0,0,0,0,0,0,0,0,138,138,10894868,0,0,0,0,0,0,0,0,0
2003,01,239000,085,0867,388,33860, ,36040      ,3,6,0,,Hayneville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,240000,067,0870,222,20020, ,36345      ,3,6,12,,Headland,29,29,4408500,0,0,0,0,0,0,0,0,0,29,29,4408500,0,0,0,0,0,0,0,0,0
2003,01,242000,029,0880,999,99999, ,36264      ,3,6,0,,Heflin,5,5,531250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,243000,117,0885,142,13820, ,350800613  ,3,6,12,,Helena,157,157,25366875,0,0,0,0,0,0,0,0,0,157,157,25366875,0,0,0,0,0,0,0,0,0
2003,01,246000,009,0887,142,13820, ,35121      ,3,6,12,,Highland Lake town,8,8,1039340,0,0,0,0,0,0,0,0,0,8,8,1039340,0,0,0,0,0,0,0,0,0
2003,01,247000,079,0890,290,19460, ,35643      ,3,6,0,,Hillsboro town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,248000,015,0895,999,11500, ,36201      ,3,6,0,,Hobson City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,250000,055,0905,999,23460, ,359039804  ,3,6,12,,Hokes Bluff,31,31,2922850,0,0,0,0,0,0,0,0,0,31,31,2922850,0,0,0,0,0,0,0,0,0
2003,01,252000,071,0915,999,99999, ,35752      ,3,6,0,,Hollywood town,1,1,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,253000,073,0925,142,13820, ,35209      ,3,6,12,,Homewood,31,31,7466900,0,0,0,0,0,0,0,0,0,31,31,7466900,0,0,0,0,0,0,0,0,0
2003,01,254000,073,0927,142,13820, ,352360628  ,3,6,12,,Hoover,771,771,186006741,0,0,0,0,0,0,3,60,4144600,771,771,186006741,0,0,0,0,0,0,3,60,4144600
2003,01,257000,073,0930,142,13820, ,350230078  ,3,6,11,,Hueytown,42,42,6368361,0,0,0,0,0,0,1,5,126389,38,38,5852361,0,0,0,0,0,0,0,0,0
2003,01,259000,089,0935,290,26620,1,358040308  ,3,6,12,,Huntsville,525,525,22424032,2,4,239400,1,4,155000,73,962,45651751,525,525,22424032,2,4,239400,1,4,155000,73,962,45651751
2003,01,261000,049,0942,999,99999, ,35981      ,3,6,12,,Ider town,2,2,259684,0,0,0,0,0,0,0,0,0,2,2,259684,0,0,0,0,0,0,0,0,0
2003,01,262000,073,0945,142,13820, ,35210      ,3,6,12,,Irondale,17,17,2217883,0,0,0,0,0,0,0,0,0,17,17,2217883,0,0,0,0,0,0,0,0,0
