Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2005,01,257000,073,0930,142,13820, , ,350230078  ,3,6,12,Hueytown,43,43,5776641,0,0,0,0,0,0,0,0,0,43,43,5776641,0,0,0,0,0,0,0,0,0
2005,01,259000,089,0935,290,26620,2,1,358040308  ,3,6,12,Huntsville,992,992,53949572,0,0,0,0,0,0,0,0,0,992,992,53949572,0,0,0,0,0,0,0,0,0
2005,01,261000,049,0942,999,99999, , ,35981      ,3,6,12,Ider town,7,7,1039499,0,0,0,0,0,0,0,0,0,7,7,1039499,0,0,0,0,0,0,0,0,0
2005,01,262000,073,0945,142,13820, , ,35210      ,3,6,12,Irondale,47,47,5857902,0,0,0,0,0,0,0,0,0,47,47,5857902,0,0,0,0,0,0,0,0,0
2005,01,263000,025,0950,999,99999, , ,36545      ,3,6,12,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,266000,015,0955,999,11500, , ,36265      ,3,6,12,Jacksonville,114,114,11855425,0,0,0,2,8,180000,0,0,0,114,114,11855425,0,0,0,2,8,180000,0,0,0
2005,01,267000,127,0960,142,13820, , ,35501      ,3,6,12,Jasper,36,36,5078000,0,0,0,2,7,1000000,0,0,0,36,36,5078000,0,0,0,2,7,1000000,0,0,0
2005,01,268000,073,    ,142,13820,2, ,35203      ,3,6,12,Jefferson County Unincorporated Area,1051,1051,113912215,0,0,0,0,0,0,0,0,0,1051,1051,113912215,0,0,0,0,0,0,0,0,0
2005,01,269000,021,0965,142,13820,2, ,35085      ,3,6,11,Jemison,25,25,3805500,0,0,0,0,0,0,1,5,306122,25,25,3805500,0,0,0,0,0,0,0,0,0
2005,01,272000,077,0980,999,22520, , ,35645      ,3,6,12,Killen town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,273000,073,0985,142,13820, , ,35091      ,3,6,12,Kimberly town,81,81,11038300,0,0,0,0,0,0,0,0,0,81,81,11038300,0,0,0,0,0,0,0,0,0
2005,01,274000,069,0990,222,20020, , ,36303      ,3,6,12,Kinsey town,4,4,400000,0,0,0,0,0,0,0,0,0,4,4,400000,0,0,0,0,0,0,0,0,0
2005,01,276000,017,1000,999,99999, , ,36862      ,3,6,12,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,276900,125,1003,999,46220, , ,35111      ,3,6,12,Lake View town,95,95,13028000,0,0,0,0,0,0,0,0,0,95,95,13028000,0,0,0,0,0,0,0,0,0
2005,01,279000,017,1005,999,99999, , ,36863      ,3,6,0,Lanett,11,11,1302400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,283000,081,    ,194,12220,2, ,36801      ,3,6,12,Lee County Unincorporated Area,504,504,57811226,0,0,0,0,0,0,0,0,0,504,504,57811226,0,0,0,0,0,0,0,0,0
2005,01,284000,073,1015,142,13820,2, ,35094      ,3,6,12,Leeds,45,45,6707987,0,0,0,0,0,0,0,0,0,45,45,6707987,0,0,0,0,0,0,0,0,0
2005,01,290000,045,1024,999,99999, , ,36322      ,3,6,0,Level Plains town,2,2,248215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,294000,121,1030,999,99999, , ,35096      ,3,6,12,Lincoln,85,85,10657300,0,0,0,0,0,0,0,0,0,85,85,10657300,0,0,0,0,0,0,0,0,0
2005,01,295000,091,1035,999,99999, , ,36748      ,3,6,0,Linden,6,6,823399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,296000,027,1040,999,99999, , ,36266      ,3,6,12,Lineville,5,5,152105,0,0,0,0,0,0,0,0,0,5,5,152105,0,0,0,0,0,0,0,0,0
