Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,01,166000,099,0580,9999,9999, ,36439      ,3,6,12,,Excel town,4,4,285000,0,0,0,0,0,0,0,0,0,4,4,285000,0,0,0,0,0,0,0,0,0
2001,01,167000,073,0590,1000,9999, ,35064      ,3,6,12,,Fairfield,25,25,2450000,0,0,0,0,0,0,0,0,0,25,25,2450000,0,0,0,0,0,0,0,0,0
2001,01,168000,003,0595,5160,9999, ,36532      ,3,6,12,,Fairhope,238,238,33214291,0,0,0,0,0,0,0,0,0,238,238,33214291,0,0,0,0,0,0,0,0,0
2001,01,170000,103,0600,2030,9999, ,35622      ,3,6,12,,Falkville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,172000,057,0610,9999,9999, ,35555      ,3,6,0,,Fayette,6,6,719657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,176000,053,0630,9999,9999, ,36441      ,3,6,12,,Flomaton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,177000,039,0635,9999,9999, ,36442      ,3,6,0,,Florala,1,1,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,178000,077,0640,2650,9999,1,35631      ,3,6,12,,Florence,77,77,7794855,0,0,0,0,0,0,1,5,149370,77,77,7794855,0,0,0,0,0,0,1,5,149370
2001,01,179000,003,0645,5160,9999, ,36535      ,3,6,12,,Foley,224,224,22012005,4,8,544000,0,0,0,0,0,0,224,224,22012005,4,8,544000,0,0,0,0,0,0
2001,01,181000,085,0650,9999,9999, ,36032      ,3,6,12,,Fort Deposit town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,182000,049,0655,9999,9999, ,359671994  ,3,6,12,,Fort Payne,46,46,5135000,0,0,0,0,0,0,0,0,0,46,46,5135000,0,0,0,0,0,0,0,0,0
2001,01,185000,099,0660,9999,9999, ,36445      ,3,6,12,,Frisco City town,1,1,60000,0,0,0,0,0,0,0,0,0,1,1,60000,0,0,0,0,0,0,0,0,0
2001,01,188000,073,0675,1000,9999, ,35068      ,3,6,11,,Fultondale,46,46,5530527,0,0,0,0,0,0,0,0,0,44,44,5302659,0,0,0,0,0,0,0,0,0
2001,01,189000,049,0680,9999,9999, ,35971      ,3,6,12,,Fyffe town,4,4,248000,0,0,0,0,0,0,0,0,0,4,4,248000,0,0,0,0,0,0,0,0,0
2001,01,190000,055,0685,2880,9999,1,35999      ,3,6,0,,Gadsden,12,12,903000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,195000,043,0700,9999,9999, ,35070      ,3,6,12,,Garden City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,196000,073,0705,1000,9999, ,35071      ,3,6,12,,Gardendale,112,112,11153302,2,4,194800,0,0,0,0,0,0,112,112,11153302,2,4,194800,0,0,0,0,0,0
2001,01,199000,061,0720,9999,9999, ,36340      ,3,6,0,,Geneva,4,4,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,201000,013,0725,9999,9999, ,36033      ,3,6,12,,Georgiana town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,207000,055,0745,2880,9999, ,35905      ,3,6,12,,Glencoe,18,18,1788100,0,0,0,0,0,0,0,0,0,18,18,1788100,0,0,0,0,0,0,0,0,0
2001,01,211000,037,0755,9999,9999, ,35072      ,3,6,12,,Goodwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,212000,107,0760,9999,9999, ,35466      ,3,6,0,,Gordo town,3,3,82500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,213000,069,0765,2180,9999, ,36343      ,3,6,12,,Gordon town,2,2,176650,0,0,0,0,0,0,0,0,0,2,2,176650,0,0,0,0,0,0,0,0,0
2001,01,215000,095,0775,9999,9999, ,35747      ,3,6,12,,Grant town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,216000,073,0780,1000,9999, ,35073      ,3,6,12,,Graysville,3,3,235000,0,0,0,0,0,0,0,0,0,3,3,235000,0,0,0,0,0,0,0,0,0
2001,01,218000,065,0785,9999,9999, ,36744      ,3,6,12,,Greensboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,219000,013,0790,9999,9999, ,36037      ,3,6,12,,Greenville,7,7,736846,0,0,0,0,0,0,0,0,0,7,7,736846,0,0,0,0,0,0,0,0,0
2001,01,221000,025,0800,9999,9999, ,36451      ,3,6,12,,Grove Hill town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,223000,093,0805,9999,9999, ,35563      ,3,6,12,,Guin town,1,1,95000,0,0,0,0,0,0,0,0,0,1,1,95000,0,0,0,0,0,0,0,0,0
2001,01,224000,003,0810,5160,9999, ,36542      ,3,6,12,,Gulf Shores,134,134,18290361,3,6,574870,1,4,320000,0,0,0,134,134,18290361,3,6,574870,1,4,320000,0,0,0
2001,01,225000,095,0815,9999,9999, ,35976      ,3,6,12,,Guntersville,17,17,2568560,0,0,0,1,4,340000,0,0,0,17,17,2568560,0,0,0,1,4,340000,0,0,0
2001,01,226000,089,0817,3440,9999, ,35748      ,3,6,12,,Gurley town,1,1,130000,0,0,0,0,0,0,0,0,0,1,1,130000,0,0,0,0,0,0,0,0,0
2001,01,227000,093,0825,9999,9999, ,35564      ,3,6,0,,Hackleburg town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,231000,133,0830,9999,9999, ,35565      ,3,6,0,,Haleyville,2,2,174340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,232000,093,0835,9999,9999, ,35570      ,3,6,0,,Hamilton,1,1,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,234000,043,0845,9999,9999, ,35077      ,3,6,12,,Hanceville,5,5,277000,0,0,0,0,0,0,0,0,0,5,5,277000,0,0,0,0,0,0,0,0,0
2001,01,236000,061,0855,9999,9999, ,36344      ,3,6,12,,Hartford,6,6,448000,0,0,0,0,0,0,0,0,0,6,6,448000,0,0,0,0,0,0,0,0,0
2001,01,237000,103,0860,2030,9999, ,35640      ,3,6,2,,Hartselle,79,79,6676072,0,0,0,0,0,0,1,5,105322,11,11,1034420,0,0,0,0,0,0,0,0,0
2001,01,240000,067,0870,9999,9999, ,36345      ,3,6,12,,Headland,20,20,2820000,0,0,0,0,0,0,0,0,0,20,20,2820000,0,0,0,0,0,0,0,0,0
2001,01,242000,029,0880,9999,9999, ,36264      ,3,6,12,,Heflin,5,5,372253,0,0,0,0,0,0,0,0,0,5,5,372253,0,0,0,0,0,0,0,0,0
2001,01,243000,117,0885,1000,9999, ,35080      ,3,6,12,,Helena,204,204,27129975,0,0,0,0,0,0,0,0,0,204,204,27129975,0,0,0,0,0,0,0,0,0
2001,01,247000,079,0890,2030,9999, ,35643      ,3,6,0,,Hillsboro town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,248000,015,0895,0450,9999, ,36201      ,3,6,0,,Hobson City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,250000,055,0905,2880,9999, ,359039804  ,3,6,12,,Hokes Bluff,30,30,2913000,0,0,0,0,0,0,0,0,0,30,30,2913000,0,0,0,0,0,0,0,0,0
2001,01,252000,071,0915,9999,9999, ,35752      ,3,6,0,,Hollywood town,1,1,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,253000,073,0925,1000,9999, ,35209      ,3,6,0,,Homewood,67,67,9975428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,254000,073,0927,1000,9999, ,352360628  ,3,6,12,,Hoover,427,427,111002791,0,0,0,0,0,0,5,75,2997000,427,427,111002791,0,0,0,0,0,0,5,75,2997000
2001,01,257000,073,0930,1000,9999, ,350230078  ,3,6,12,,Hueytown,44,44,5971700,0,0,0,0,0,0,0,0,0,44,44,5971700,0,0,0,0,0,0,0,0,0
2001,01,259000,089,0935,3440,9999,1,358040308  ,3,6,12,,Huntsville,400,400,18025694,0,0,0,1,4,225000,38,554,22862461,400,400,18025694,0,0,0,1,4,225000,38,554,22862461
2001,01,262000,073,0945,1000,9999, ,35210      ,3,6,12,,Irondale,22,22,2311055,0,0,0,0,0,0,0,0,0,22,22,2311055,0,0,0,0,0,0,0,0,0
2001,01,263000,025,0950,9999,9999, ,36545      ,3,6,0,,Jackson,5,5,687500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,266000,015,0955,0450,9999, ,36265      ,3,6,12,,Jacksonville,36,36,3891500,0,0,0,0,0,0,0,0,0,36,36,3891500,0,0,0,0,0,0,0,0,0
2001,01,267000,127,0960,9999,9999, ,35501      ,3,6,12,,Jasper,17,17,1797500,0,0,0,0,0,0,0,0,0,17,17,1797500,0,0,0,0,0,0,0,0,0
2001,01,268000,073,    ,1000,9999, ,35263      ,3,6,12,,Jefferson County Unincorporated Area,815,815,87417602,0,0,0,0,0,0,0,0,0,815,815,87417602,0,0,0,0,0,0,0,0,0
2001,01,273000,073,0985,1000,9999, ,35091      ,3,6,12,,Kimberly town,71,71,8811618,0,0,0,0,0,0,0,0,0,71,71,8811618,0,0,0,0,0,0,0,0,0
2001,01,274000,069,0990,2180,9999, ,36303      ,3,6,12,,Kinsey town,9,9,800000,0,0,0,0,0,0,0,0,0,9,9,800000,0,0,0,0,0,0,0,0,0
2001,01,276000,017,1000,9999,9999, ,36862      ,3,6,0,,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,276900,125,1003,8600,9999, ,35111      ,3,6,12,,Lake View town,17,17,2449591,0,0,0,0,0,0,0,0,0,17,17,2449591,0,0,0,0,0,0,0,0,0
2001,01,279000,017,1005,9999,9999, ,36863      ,3,6,12,,Lanett,10,10,1034055,0,0,0,0,0,0,0,0,0,10,10,1034055,0,0,0,0,0,0,0,0,0
2001,01,284000,073,1015,1000,9999, ,35094      ,3,6,0,,Leeds,119,119,12536468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,290000,045,1024,2180,9999, ,36322      ,3,6,12,,Level Plains town,2,2,248215,0,0,0,0,0,0,0,0,0,2,2,248215,0,0,0,0,0,0,0,0,0
2001,01,294000,121,1030,9999,9999, ,35096      ,3,6,12,,Lincoln,15,15,1903166,0,0,0,0,0,0,0,0,0,15,15,1903166,0,0,0,0,0,0,0,0,0
2001,01,295000,091,1035,9999,9999, ,36748      ,3,6,0,,Linden,3,3,411700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,296000,027,1040,9999,9999, ,36266      ,3,6,12,,Lineville,5,5,355000,0,0,0,0,0,0,0,0,0,5,5,355000,0,0,0,0,0,0,0,0,0
2001,01,297000,073,1045,1000,9999, ,35020      ,3,6,0,,Lipscomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,298000,023,1050,9999,9999, ,36912      ,3,6,12,,Lisman town,2,2,230000,0,0,0,0,0,0,0,0,0,2,2,230000,0,0,0,0,0,0,0,0,0
2001,01,299000,033,1055,2650,9999, ,35653      ,3,6,12,,Littleville town,2,2,100000,0,0,0,0,0,0,0,0,0,2,2,100000,0,0,0,0,0,0,0,0,0
2001,01,300000,119,1060,9999,9999, ,35470      ,3,6,12,,Livingston,3,3,346600,0,0,0,0,0,0,0,0,0,3,3,346600,0,0,0,0,0,0,0,0,0
2001,01,305000,085,    ,9999,9999, ,36040      ,3,6,12,,Lowndes County Unincorporated Area,2,2,125000,0,0,0,0,0,0,0,0,0,2,2,125000,0,0,0,0,0,0,0,0,0
2001,01,307000,003,1075,5160,9999, ,36551      ,3,6,12,,Loxley town,9,9,936200,0,0,0,0,0,0,0,0,0,9,9,936200,0,0,0,0,0,0,0,0,0
