Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,09,441000,009,    ,408,35300, ,06471      ,1,1,12,,North Branford town,40,40,6144445,0,0,0,0,0,0,0,0,0,40,40,6144445,0,0,0,0,0,0,0,0,0
2003,09,445000,005,    ,999,99999, ,06018      ,1,1,12,,North Canaan town,7,7,1639000,0,0,0,0,0,0,0,0,0,7,7,1639000,0,0,0,0,0,0,0,0,0
2003,09,449000,009,    ,408,35300, ,06473      ,1,1,5,,North Haven town,35,35,4236905,0,0,0,5,18,1726501,0,0,0,6,6,976050,0,0,0,5,18,1726501,0,0,0
2003,09,453000,011,    ,999,35980, ,06359      ,1,1,12,,North Stonington town,23,23,3536000,0,0,0,0,0,0,0,0,0,23,23,3536000,0,0,0,0,0,0,0,0,0
2003,09,457000,001,1630,408,14860,1,068565125  ,1,1,12,,Norwalk,56,56,17044500,3,6,770000,5,19,1678000,6,49,3503000,56,56,17044500,3,6,770000,5,19,1678000,6,49,3503000
2003,09,461000,011,1650,999,35980,1,06360      ,1,1,12,,Norwich,122,122,9732753,0,0,0,3,9,720000,6,116,5376300,122,122,9732753,0,0,0,3,9,720000,6,116,5376300
2003,09,469000,011,    ,999,35980, ,06371      ,1,1,12,,Old Lyme town,29,29,8204035,0,0,0,0,0,0,0,0,0,29,29,8204035,0,0,0,0,0,0,0,0,0
2003,09,473000,007,    ,278,25540, ,06475      ,1,1,10,,Old Saybrook town,25,25,4653057,0,0,0,0,0,0,0,0,0,22,22,4050119,0,0,0,0,0,0,0,0,0
2003,09,477000,009,    ,408,35300, ,06477      ,1,1,12,,Orange town,19,19,4272063,0,0,0,0,0,0,0,0,0,19,19,4272063,0,0,0,0,0,0,0,0,0
2003,09,481000,009,    ,408,35300, ,06478      ,1,1,12,,Oxford town,145,145,20659200,0,0,0,0,0,0,0,0,0,145,145,20659200,0,0,0,0,0,0,0,0,0
2003,09,485000,015,    ,552,99999, ,06374      ,1,1,12,,Plainfield town,49,49,6257120,0,0,0,1,4,190000,0,0,0,49,49,6257120,0,0,0,1,4,190000,0,0,0
2003,09,489000,003,    ,278,25540, ,06062      ,1,1,12,,Plainville town,44,44,5165040,0,0,0,0,0,0,0,0,0,44,44,5165040,0,0,0,0,0,0,0,0,0
2003,09,493000,005,    ,328,99999, ,06786      ,1,1,12,,Plymouth town,28,28,4093000,0,0,0,0,0,0,0,0,0,28,28,4093000,0,0,0,0,0,0,0,0,0
2003,09,497000,015,    ,999,99999, ,06259      ,1,1,12,,Pomfret town,26,26,3964000,0,0,0,0,0,0,1,6,384000,26,26,3964000,0,0,0,0,0,0,1,6,384000
2003,09,501000,007,    ,278,25540, ,06480      ,1,1,12,,Portland town,55,55,7323750,0,0,0,0,0,0,0,0,0,55,55,7323750,0,0,0,0,0,0,0,0,0
2003,09,505000,011,    ,999,35980, ,06360      ,1,1,3,,Preston town,24,24,3414006,0,0,0,0,0,0,0,0,0,9,9,953505,0,0,0,0,0,0,0,0,0
2003,09,509000,009,    ,408,35300, ,06712      ,1,1,12,,Prospect town,28,28,5184500,0,0,0,0,0,0,0,0,0,28,28,5184500,0,0,0,0,0,0,0,0,0
2003,09,513000,015,    ,999,99999, ,06260      ,1,1,7,,Putnam town,48,48,5182848,0,0,0,0,0,0,1,7,267103,42,42,4638733,0,0,0,0,0,0,1,7,267103
2003,09,517000,001,    ,408,14860, ,06875      ,1,1,12,,Redding town,32,32,19273556,0,0,0,0,0,0,0,0,0,32,32,19273556,0,0,0,0,0,0,0,0,0
2003,09,521000,001,    ,408,14860, ,06877      ,1,1,12,,Ridgefield town,44,44,20074889,0,0,0,0,0,0,0,0,0,44,44,20074889,0,0,0,0,0,0,0,0,0
2003,09,525000,003,    ,278,25540, ,06067      ,1,1,12,,Rocky Hill town,67,67,9535270,6,12,875700,0,0,0,0,0,0,67,67,9535270,6,12,875700,0,0,0,0,0,0
2003,09,529000,005,    ,560,1930 , ,06783      ,1,1,12,,Roxbury town,16,16,3219650,0,0,0,0,0,0,0,0,0,16,16,3219650,0,0,0,0,0,0,0,0,0
2003,09,533000,011,    ,999,35980, ,064203809  ,1,1,12,,Salem town,26,26,6533190,0,0,0,0,0,0,0,0,0,26,26,6533190,0,0,0,0,0,0,0,0,0
2003,09,537000,005,    ,999,99999, ,06068      ,1,1,12,,Salisbury town,12,12,4371000,0,0,0,0,0,0,0,0,0,12,12,4371000,0,0,0,0,0,0,0,0,0
2003,09,541000,015,    ,999,99999, ,06264      ,1,1,12,,Scotland town,8,8,1040000,0,0,0,0,0,0,0,0,0,8,8,1040000,0,0,0,0,0,0,0,0,0
2003,09,545000,009,    ,408,35300, ,06483      ,1,1,12,,Seymour town,46,46,6225000,0,0,0,0,0,0,0,0,0,46,46,6225000,0,0,0,0,0,0,0,0,0
2003,09,549000,005,    ,999,99999, ,06069      ,1,1,4,,Sharon town,11,11,2632500,0,0,0,0,0,0,0,0,0,2,2,522000,0,0,0,0,0,0,0,0,0
2003,09,553000,001,2030,408,14860, ,06484      ,1,1,12,,Shelton,85,85,13991908,0,0,0,0,0,0,0,0,0,85,85,13991908,0,0,0,0,0,0,0,0,0
2003,09,557000,001,    ,408,14860, ,06784      ,1,1,12,,Sherman town,20,20,6560000,0,0,0,0,0,0,0,0,0,20,20,6560000,0,0,0,0,0,0,0,0,0
2003,09,561000,003,    ,278,25540, ,06070      ,1,1,12,,Simsbury town,24,24,5105730,0,0,0,0,0,0,0,0,0,24,24,5105730,0,0,0,0,0,0,0,0,0
2003,09,565000,013,    ,278,25540, ,06071      ,1,1,12,,Somers town,41,41,7879959,0,0,0,0,0,0,0,0,0,41,41,7879959,0,0,0,0,0,0,0,0,0
2003,09,569000,003,    ,278,25540, ,06074      ,1,1,12,,South Windsor town,69,69,7672000,0,0,0,0,0,0,4,102,3624000,69,69,7672000,0,0,0,0,0,0,4,102,3624000
2003,09,573000,009,    ,408,35300, ,06488      ,1,1,12,,Southbury town,94,94,14784395,0,0,0,0,0,0,3,22,840000,94,94,14784395,0,0,0,0,0,0,3,22,840000
2003,09,577000,003,    ,278,25540, ,06489      ,1,1,12,,Southington town,188,188,15266457,1,2,66000,0,0,0,1,5,282600,188,188,15266457,1,2,66000,0,0,0,1,5,282600
2003,09,581000,011,    ,999,35980, ,06330      ,1,1,0,,Sprague town,9,9,998634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,09,589000,013,    ,278,25540, ,06076      ,1,1,12,,Stafford town,57,57,6410949,0,0,0,0,0,0,0,0,0,57,57,6410949,0,0,0,0,0,0,0,0,0
2003,09,593000,001,2180,408,14860,1,06904      ,1,1,12,,Stamford,90,90,37180572,3,6,725700,0,0,0,0,0,0,90,90,37180572,3,6,725700,0,0,0,0,0,0
2003,09,597000,015,    ,999,99999, ,06373      ,1,1,12,,Sterling town,37,37,3935000,1,2,132000,0,0,0,0,0,0,37,37,3935000,1,2,132000,0,0,0,0,0,0
2003,09,601000,011,2210,999,35980, ,06378      ,1,1,12,,Stonington borough,1,1,397745,0,0,0,0,0,0,1,34,15425290,1,1,397745,0,0,0,0,0,0,1,34,15425290
2003,09,605000,011,    ,999,35980, ,06378      ,1,1,12,,Stonington town,70,70,13732204,0,0,0,0,0,0,0,0,0,70,70,13732204,0,0,0,0,0,0,0,0,0
