Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,09,281000,015,    ,9999,9999, ,06247      ,1,1,0,,Hampton town,21,21,2165076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,285000,003,0970,3280,9999,1,06103      ,1,1,12,,Hartford,34,34,2846412,17,34,1445000,1,3,389000,0,0,0,34,34,2846412,17,34,1445000,1,3,389000,0,0,0
2002,09,289000,003,    ,9999,9999, ,06027      ,1,1,2,,Hartland town,7,7,753132,0,0,0,0,0,0,0,0,0,1,1,112312,0,0,0,0,0,0,0,0,0
2002,09,293000,005,    ,3280,9999, ,06791      ,1,1,12,,Harwinton town,30,30,5306000,0,0,0,0,0,0,0,0,0,30,30,5306000,0,0,0,0,0,0,0,0,0
2002,09,297000,013,    ,3280,9999, ,06248      ,1,1,0,,Hebron town,40,40,8156164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,305000,005,    ,9999,9999, ,06069      ,1,1,0,,Kent town,13,13,2287688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,309000,015,    ,9999,9999, ,06239      ,1,1,12,,Killingly town,84,84,7086551,0,0,0,0,0,0,0,0,0,84,84,7086551,0,0,0,0,0,0,0,0,0
2002,09,313000,007,    ,5602,5480, ,06417      ,1,1,12,,Killingworth town,32,32,7243000,0,0,0,0,0,0,0,0,0,32,32,7243000,0,0,0,0,0,0,0,0,0
2002,09,317000,011,    ,3280,9999, ,06249      ,1,1,12,,Lebanon town,35,35,4286837,0,0,0,0,0,0,0,0,0,35,35,4286837,0,0,0,0,0,0,0,0,0
2002,09,321000,011,    ,5520,9999, ,063390038  ,1,1,12,,Ledyard town,53,53,6813842,0,0,0,0,0,0,0,0,0,53,53,6813842,0,0,0,0,0,0,0,0,0
2002,09,325000,011,    ,5520,9999, ,06351      ,1,1,0,,Lisbon town,19,19,1641313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,333000,005,    ,9999,9999, ,067590488  ,1,1,12,,Litchfield town,33,33,6637574,0,0,0,0,0,0,0,0,0,33,33,6637574,0,0,0,0,0,0,0,0,0
2002,09,337000,011,    ,9999,9999, ,06371      ,1,1,12,,Lyme town,21,21,8748560,0,0,0,0,0,0,0,0,0,21,21,8748560,0,0,0,0,0,0,0,0,0
2002,09,341000,009,    ,5602,5480, ,06443      ,1,1,12,,Madison town,46,46,15438817,0,0,0,0,0,0,0,0,0,46,46,15438817,0,0,0,0,0,0,0,0,0
2002,09,345000,003,    ,3280,9999, ,06040      ,1,1,12,,Manchester town,55,55,7154146,0,0,0,0,0,0,19,135,5205468,55,55,7154146,0,0,0,0,0,0,19,135,5205468
2002,09,349000,013,    ,3280,9999, ,06268      ,1,1,12,,Mansfield town,42,42,5908188,0,0,0,1,4,400000,0,0,0,42,42,5908188,0,0,0,1,4,400000,0,0,0
2002,09,353000,003,    ,3280,9999, ,06447      ,1,1,10,,Marlborough town,46,46,9372342,0,0,0,0,0,0,0,0,0,37,37,7767858,0,0,0,0,0,0,0,0,0
2002,09,357000,009,1210,5602,5480,1,06450      ,1,1,12,,Meriden,71,71,5908780,1,2,118000,0,0,0,0,0,0,71,71,5908780,1,2,118000,0,0,0,0,0,0
2002,09,361000,009,    ,5602,8880, ,067620392  ,1,1,12,,Middlebury town,33,33,7426904,0,0,0,0,0,0,0,0,0,33,33,7426904,0,0,0,0,0,0,0,0,0
