Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,17,090100,019,0635,1400,9999, ,61816      ,2,3,12,,Broadlands village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,090400,031,0640,1602,1600, ,601553800  ,2,3,12,,Broadview village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,091000,107,0645,9999,9999, ,62634      ,2,3,0,,Broadwell village,1,1,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,091300,045,0650,9999,9999, ,61917      ,2,3,0,,Brocton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,091900,031,0655,1602,1600, ,60513      ,2,3,12,,Brookfield village,3,3,425000,0,0,0,0,0,0,2,115,12759332,3,3,425000,0,0,0,0,0,0,2,115,12759332
2002,17,093100,127,0665,9999,9999, ,629100508  ,2,3,12,,Brookport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,100000,091,0700,1602,3740, ,60917      ,2,3,12,,Buckingham village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,100300,075,0705,9999,9999, ,60918      ,2,3,12,,Buckley village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,101800,097,0725,1602,1600, ,60089      ,2,3,12,,Buffalo Grove village,59,59,10973396,0,0,0,0,0,0,0,0,0,59,59,10973396,0,0,0,0,0,0,0,0,0
2002,17,103000,167,0720,7880,9999, ,62515      ,2,3,12,,Buffalo village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,103300,111,0729,1602,1600, ,60098      ,2,3,12,,Bull Valley village,4,4,2371039,0,0,0,0,0,0,0,0,0,4,4,2371039,0,0,0,0,0,0,0,0,0
2002,17,103600,021,0730,9999,9999, ,62517      ,2,3,12,,Bulpitt village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,104800,031,0743,1602,1600, ,60459      ,2,3,12,,Burbank,75,75,9198000,0,0,0,0,0,0,1,14,500000,75,75,9198000,0,0,0,0,0,0,1,14,500000
2002,17,105100,011,    ,9999,9999, ,61356      ,2,3,12,,Bureau County Unincorporated Area,27,27,3613000,0,0,0,0,0,0,0,0,0,27,27,3613000,0,0,0,0,0,0,0,0,0
2002,17,106900,031,0755,1602,1600, ,60633      ,2,3,0,,Burnham village,7,7,620487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,108400,043,0759,1602,1600, ,60521      ,2,3,12,,Burr Ridge village,54,54,39361930,0,0,0,0,0,0,0,0,0,54,54,39361930,0,0,0,0,0,0,0,0,0
2002,17,111700,141,0775,6880,9999, ,610100916  ,2,3,12,,Byron,34,34,2784750,3,6,375000,3,12,540000,0,0,0,34,34,2784750,3,6,375000,3,12,540000,0,0,0
2002,17,113200,163,0785,7040,9999, ,62206      ,2,3,12,,Cahokia village,5,5,715000,0,0,0,0,0,0,0,0,0,5,5,715000,0,0,0,0,0,0,0,0,0
2002,17,113500,003,0790,9999,9999, ,62914      ,2,3,0,,Cairo,2,2,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,114100,013,    ,9999,9999, ,62047      ,2,3,12,,Calhoun County,28,28,3257593,1,2,146976,0,0,0,0,0,0,28,28,3257593,1,2,146976,0,0,0,0,0,0
2002,17,114700,031,0800,1602,1600, ,60409      ,2,3,12,,Calumet City,25,25,2275000,0,0,0,0,0,0,1,100,8639474,25,25,2275000,0,0,0,0,0,0,1,100,8639474
2002,17,115000,031,0805,1602,1600, ,60827      ,2,3,12,,Calumet Park village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,115900,041,0810,9999,9999, ,61953      ,2,3,0,,Camargo village,6,6,578688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,116200,199,0815,9999,9999, ,629150218  ,2,3,0,,Cambria village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,116800,073,0820,1960,9999, ,61238      ,2,3,12,,Cambridge village,5,5,400000,0,0,0,0,0,0,0,0,0,5,5,400000,0,0,0,0,0,0,0,0,0
2002,17,118000,001,0835,9999,9999, ,62320      ,2,3,0,,Camp Point village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,118300,077,0830,9999,9999, ,62916      ,2,3,12,,Campbell Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,119800,057,0845,9999,9999, ,61520      ,2,3,12,,Canton,8,8,825115,0,0,0,0,0,0,0,0,0,8,8,825115,0,0,0,0,0,0,0,0,0
2002,17,121000,007,0855,6880,9999, ,61012      ,2,3,0,,Capron village,28,28,2003077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,121300,161,0860,1960,9999, ,61239      ,2,3,12,,Carbon Cliff village,3,3,371000,0,0,0,0,0,0,0,0,0,3,3,371000,0,0,0,0,0,0,0,0,0
2002,17,121600,063,0870,1602,1600, ,60416      ,2,3,12,,Carbon Hill village,1,1,151548,0,0,0,0,0,0,0,0,0,1,1,151548,0,0,0,0,0,0,0,0,0
2002,17,121900,077,0865,9999,9999, ,62902      ,2,3,12,,Carbondale,29,29,2558886,11,22,840106,7,28,644733,10,84,1881640,29,29,2558886,11,22,840106,7,28,644733,10,84,1881640
2002,17,123100,113,0876,1040,9999, ,61725      ,2,3,12,,Carlock village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,123400,027,0880,7040,9999, ,62231      ,2,3,12,,Carlyle,10,10,1460000,0,0,0,0,0,0,0,0,0,10,10,1460000,0,0,0,0,0,0,0,0,0
2002,17,124900,043,0890,1602,1600, ,60188      ,2,3,12,,Carol Stream village,69,69,8545000,3,6,630000,0,0,0,0,0,0,69,69,8545000,3,6,630000,0,0,0,0,0,0
2002,17,125200,089,0895,1602,1600, ,60110      ,2,3,12,,Carpentersville village,142,142,36750000,0,0,0,0,0,0,0,0,0,142,142,36750000,0,0,0,0,0,0,0,0,0
2002,17,126400,015,    ,9999,9999, ,61053      ,2,3,12,,Carroll County Unincorporated Area,58,58,11933246,0,0,0,0,0,0,0,0,0,58,58,11933246,0,0,0,0,0,0,0,0,0
2002,17,127000,061,0905,9999,9999, ,62016      ,2,3,0,,Carrollton,1,1,60000,0,0,0,1,3,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,127900,199,0910,9999,9999, ,62918      ,2,3,12,,Carterville,32,32,3610000,3,6,305000,1,4,135000,0,0,0,32,32,3610000,3,6,305000,1,4,135000,0,0,0
2002,17,128200,067,0915,9999,9999, ,62321      ,2,3,12,,Carthage,3,3,190000,0,0,0,0,0,0,0,0,0,3,3,190000,0,0,0,0,0,0,0,0,0
2002,17,129100,111,0920,1602,1600, ,60013      ,2,3,5,,Cary village,382,382,65802469,0,0,0,5,17,2399040,0,0,0,128,128,22596845,0,0,0,0,0,0,0,0,0
2002,17,130600,163,0930,7040,9999, ,62232      ,2,3,12,,Caseyville village,7,7,602000,0,0,0,0,0,0,0,0,0,7,7,602000,0,0,0,0,0,0,0,0,0
2002,17,131200,017,    ,9999,9999, ,62691      ,2,3,12,,Cass County Unincorporated Area,9,9,675000,0,0,0,0,0,0,0,0,0,9,9,675000,0,0,0,0,0,0,0,0,0
