Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2006,17,101800,097,0725,176,16980,2, ,60089      ,2,3,12,Buffalo Grove village,154,154,28204988,0,0,0,0,0,0,0,0,0,154,154,28204988,0,0,0,0,0,0,0,0,0
2006,17,103000,167,0720,999,44100, , ,62515      ,2,3,0,Buffalo village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,103300,111,0729,176,16980, , ,60098      ,2,3,12,Bull Valley village,16,16,6524000,0,0,0,0,0,0,0,0,0,16,16,6524000,0,0,0,0,0,0,0,0,0
2006,17,103600,021,0730,999,99999, , ,62517      ,2,3,0,Bulpitt village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,104800,031,0743,176,16980, , ,60459      ,2,3,2,Burbank,82,82,15778024,0,0,0,0,0,0,0,0,0,8,8,1710000,0,0,0,0,0,0,0,0,0
2006,17,105100,011,    ,999,99999,2, ,61356      ,2,3,0,Bureau County Unincorporated Area,31,31,4939303,1,2,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,106900,031,0755,176,16980, , ,60633      ,2,3,0,Burnham village,8,8,709128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,108400,043,0759,176,16980,2, ,60521      ,2,3,12,Burr Ridge village,28,28,24564450,0,0,0,0,0,0,0,0,0,28,28,24564450,0,0,0,0,0,0,0,0,0
2006,17,111700,141,0775,999,99999, , ,610100916  ,2,3,12,Byron,27,27,2651596,0,0,0,0,0,0,0,0,0,27,27,2651596,0,0,0,0,0,0,0,0,0
2006,17,113200,163,0785,476,41180, , ,62206      ,2,3,6,Cahokia village,7,7,919442,0,0,0,0,0,0,0,0,0,6,6,836750,0,0,0,0,0,0,0,0,0
2006,17,113500,003,0790,999,99999, , ,62914      ,2,3,0,Cairo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,114100,013,    ,476,41180, , ,62047      ,2,3,12,Calhoun County,14,14,1790000,0,0,0,0,0,0,0,0,0,14,14,1790000,0,0,0,0,0,0,0,0,0
2006,17,114700,031,0800,176,16980, , ,60409      ,2,3,9,Calumet City,11,11,1385191,0,0,0,0,0,0,0,0,0,8,8,1033000,0,0,0,0,0,0,0,0,0
2006,17,115000,031,0805,176,16980, , ,60827      ,2,3,12,Calumet Park village,2,2,170000,0,0,0,7,28,1950000,0,0,0,2,2,170000,0,0,0,7,28,1950000,0,0,0
2006,17,115900,041,0810,999,99999, , ,61919      ,2,3,12,Camargo village,2,2,260000,0,0,0,0,0,0,0,0,0,2,2,260000,0,0,0,0,0,0,0,0,0
2006,17,116200,199,0815,999,99999, , ,629150218  ,2,3,12,Cambria village,1,1,160000,0,0,0,0,0,0,0,0,0,1,1,160000,0,0,0,0,0,0,0,0,0
2006,17,116800,073,0820,999,19340, , ,61238      ,2,3,12,Cambridge village,10,10,1613000,0,0,0,0,0,0,0,0,0,10,10,1613000,0,0,0,0,0,0,0,0,0
2006,17,118000,001,0835,999,99999, , ,62320      ,2,3,12,Camp Point village,5,5,744854,0,0,0,0,0,0,0,0,0,5,5,744854,0,0,0,0,0,0,0,0,0
2006,17,118300,077,0830,999,99999, , ,62916      ,2,3,12,Campbell Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,119800,057,0845,999,99999, , ,61520      ,2,3,12,Canton,7,7,1191500,0,0,0,0,0,0,0,0,0,7,7,1191500,0,0,0,0,0,0,0,0,0
2006,17,121000,007,0855,466,40420, , ,61012      ,2,3,0,Capron village,24,24,1716924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,121300,161,0860,999,19340, , ,61239      ,2,3,12,Carbon Cliff village,1,1,116000,0,0,0,0,0,0,0,0,0,1,1,116000,0,0,0,0,0,0,0,0,0
2006,17,121600,063,0870,176,16980, , ,60416      ,2,3,12,Carbon Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,121900,077,0865,999,99999,2, ,62902      ,2,3,12,Carbondale,38,38,4413506,7,14,1113000,3,12,335000,18,488,8717800,38,38,4413506,7,14,1113000,3,12,335000,18,488,8717800
2006,17,123100,113,0876,999,14060, , ,61725      ,2,3,12,Carlock village,5,5,697000,0,0,0,0,0,0,0,0,0,5,5,697000,0,0,0,0,0,0,0,0,0
2006,17,123400,027,0880,476,41180, , ,62231      ,2,3,12,Carlyle,6,6,1020000,0,0,0,0,0,0,0,0,0,6,6,1020000,0,0,0,0,0,0,0,0,0
2006,17,124900,043,0890,176,16980, , ,60188      ,2,3,12,Carol Stream village,70,70,10605639,0,0,0,0,0,0,0,0,0,70,70,10605639,0,0,0,0,0,0,0,0,0
2006,17,125200,089,0895,176,16980, , ,60110      ,2,3,12,Carpentersville village,144,144,38950000,0,0,0,0,0,0,0,0,0,144,144,38950000,0,0,0,0,0,0,0,0,0
2006,17,126400,015,    ,999,99999, , ,61053      ,2,3,12,Carroll County Unincorporated Area,64,64,13958792,0,0,0,0,0,0,0,0,0,64,64,13958792,0,0,0,0,0,0,0,0,0
