Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202207,324,29340,C,Lake Charles  LA ,532,532,106239,16,32,2967,0,0,0,12,232,27917,214,214,36782,12,24,2580,0,0,0,12,232,27917
202207,332,29820,C,Las Vegas-Henderson-Paradise  NV ,6754,6754,1879033,37,74,13489,33,130,15061,127,2487,236874,6733,6733,1870919,37,74,13489,33,130,15061,127,2487,236874
202207,336,30460,C,Lexington-Fayette  KY ,832,832,223635,9,18,2098,15,48,6584,22,648,62441,303,303,105444,7,14,1660,8,26,3360,0,0,0
202207,338,30620,C,Lima  OH ,81,81,18823,1,2,80,0,0,0,1,5,585,2,2,693,0,0,0,0,0,0,0,0,0
202207,339,30700,C,Lincoln  NE ,793,793,242251,13,26,4156,2,7,273,38,1115,107833,86,86,21925,0,0,0,0,0,0,2,24,2824
202207,340,30780,C,Little Rock-North Little Rock-Conway  AR ,1362,1362,343505,29,58,5130,1,3,226,31,868,86177,954,954,271761,8,16,1647,1,3,226,20,700,75252
202207,340,38220,C,Pine Bluff  AR ,21,21,3015,0,0,0,0,0,0,2,24,550,10,10,1308,0,0,0,0,0,0,2,24,550
202207,348,31080,C,Los Angeles-Long Beach-Anaheim  CA ,6682,6682,1904430,488,976,227993,90,292,82374,348,10180,1845628,5442,5442,1483786,457,914,212262,69,228,68781,273,9287,1685879
202207,348,37100,C,Oxnard-Thousand Oaks-Ventura  CA ,269,269,84268,10,20,4380,0,0,0,21,401,56563,106,106,30343,10,20,4380,0,0,0,10,201,28203
202207,348,40140,C,Riverside-San Bernardino-Ontario  CA ,8494,8494,2425969,40,80,6022,42,143,27545,123,1540,200648,6687,6687,1955623,34,68,4046,28,101,19917,84,1249,168121
