Survey , FIPS , FIPS , Region , Division , County ,   , 1-unit ,   ,   , 2-unit ,   ,   , 34unit ,   ,   , 5-unit ,   ,   , 1-unit rep ,   ,   , 2-unit rep ,   ,   , 34-unit rep ,   ,   , 5-unit rep ,   ,  
Date , State , County , Code , Code , Name , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  ,  Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value 
9099  ,     01  , 095  , 3  , 6  , Marshall County  , 162  , 162  , 9901150  , 0  , 0  , 0  , 8  , 30  , 713000  , 0  , 0  , 0  , 162  , 162  , 9901150  , 0  , 0  , 0  , 8  , 30  , 713000  , 0  , 0  , 0
9099  ,     01  , 097  , 3  , 6  , Mobile County  , 492  , 492  , 35685166  , 0  , 0  , 0  , 1  , 4  , 49056  , 0  , 0  , 0  , 492  , 492  , 35685166  , 0  , 0  , 0  , 1  , 4  , 49056  , 0  , 0  , 0
9099  ,     01  , 099  , 3  , 6  , Monroe County  , 49  , 49  , 3353274  , 0  , 0  , 0  , 0  , 0  , 0  , 1  , 8  , 148000  , 49  , 49  , 3353274  , 0  , 0  , 0  , 0  , 0  , 0  , 1  , 8  , 148000
9099  ,     01  , 101  , 3  , 6  , Montgomery County  , 725  , 725  , 42633200  , 1  , 2  , 38000  , 0  , 0  , 0  , 14  , 112  , 2600000  , 725  , 725  , 42633200  , 1  , 2  , 38000  , 0  , 0  , 0  , 14  , 112  , 2600000
9099  ,     01  , 103  , 3  , 6  , Morgan County  , 477  , 477  , 31838774  , 1  , 2  , 40175  , 7  , 27  , 710052  , 7  , 67  , 1216655  , 477  , 477  , 31838774  , 1  , 2  , 40175  , 7  , 27  , 710052  , 7  , 67  , 1216655
9099  ,     01  , 105  , 3  , 6  , Perry County  , 23  , 23  , 226736  , 0  , 0  , 0  , 4  , 16  , 600000  , 1  , 47  , 450000  , 23  , 23  , 226736  , 0  , 0  , 0  , 4  , 16  , 600000  , 1  , 47  , 450000
9099  ,     01  , 107  , 3  , 6  , Pickens County  , 6  , 6  , 372000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 2  , 2  , 137000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 109  , 3  , 6  , Pike County  , 38  , 38  , 2336692  , 1  , 2  , 30000  , 0  , 0  , 0  , 2  , 13  , 199500  , 33  , 33  , 2034100  , 1  , 2  , 30000  , 0  , 0  , 0  , 1  , 8  , 85000
9099  ,     01  , 111  , 3  , 6  , Randolph County  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 113  , 3  , 6  , Russell County  , 75  , 75  , 4526484  , 0  , 0  , 0  , 1  , 4  , 140000  , 7  , 72  , 1794396  , 75  , 75  , 4526484  , 0  , 0  , 0  , 1  , 4  , 140000  , 7  , 72  , 1794396
9099  ,     01  , 115  , 3  , 6  , St. Clair County  , 70  , 70  , 4635532  , 1  , 2  , 84000  , 0  , 0  , 0  , 4  , 56  , 1843000  , 70  , 70  , 4635532  , 1  , 2  , 84000  , 0  , 0  , 0  , 4  , 56  , 1843000
9099  ,     01  , 117  , 3  , 6  , Shelby County  , 850  , 850  , 69200815  , 1  , 2  , 50000  , 0  , 0  , 0  , 10  , 98  , 2503150  , 846  , 846  , 68981017  , 1  , 2  , 50000  , 0  , 0  , 0  , 10  , 98  , 2503150
