Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,04,193000,013,0191,6200,9999, ,85340      ,4,8,12,,Litchfield Park,20,20,4522106,0,0,0,0,0,0,0,0,0,20,20,4522106,0,0,0,0,0,0,0,0,0
2001,04,201000,019,0210,8520,9999, ,85741      ,4,8,12,,Marana town,772,772,98777274,0,0,0,0,0,0,28,290,11980363,772,772,98777274,0,0,0,0,0,0,28,290,11980363
2001,04,205000,013,    ,6200,9999, ,85003      ,4,8,12,,Maricopa County Unincorporated Area,3355,3355,513949363,0,0,0,0,0,0,9,140,6573526,3355,3355,513949363,0,0,0,0,0,0,9,140,6573526
2001,04,209000,013,0215,6200,9999, ,852111466  ,4,8,12,,Mesa,3767,3767,496743801,14,28,1876005,30,108,7440249,25,380,26687271,3767,3767,496743801,14,28,1876005,30,108,7440249,25,380,26687271
2001,04,213000,007,0220,9999,9999, ,85539      ,4,8,12,,Miami town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,217000,015,    ,4120,9999, ,864027000  ,4,8,12,,Mohave County Unincorporated Area,441,441,34021664,1,2,152719,0,0,0,0,0,0,441,441,34021664,1,2,152719,0,0,0,0,0,0
2001,04,221000,017,    ,9999,9999, ,85901      ,4,8,12,,Navajo County Unincorporated Area,436,436,55034721,0,0,0,0,0,0,0,0,0,436,436,55034721,0,0,0,0,0,0,0,0,0
2001,04,225000,023,0235,9999,9999, ,85621      ,4,8,0,,Nogales,32,32,2993032,9,18,637569,12,38,2090000,11,56,1750000,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,229000,019,0238,8520,9999, ,85737      ,4,8,12,,Oro Valley town,738,738,121622362,0,0,0,0,0,0,0,0,0,738,738,121622362,0,0,0,0,0,0,0,0,0
2001,04,233000,005,0240,2620,9999, ,86040      ,4,8,12,,Page,3,3,529617,0,0,0,0,0,0,0,0,0,3,3,529617,0,0,0,0,0,0,0,0,0
2001,04,237000,013,0242,6200,9999, ,85253      ,4,8,12,,Paradise Valley town,78,78,55972205,0,0,0,0,0,0,0,0,0,78,78,55972205,0,0,0,0,0,0,0,0,0
2001,04,241000,012,0245,9999,9999, ,85344      ,4,8,12,,Parker town,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
2001,04,245000,023,0250,9999,9999, ,85624      ,4,8,12,,Patagonia town,2,2,66500,0,0,0,0,0,0,0,0,0,2,2,66500,0,0,0,0,0,0,0,0,0
2001,04,249000,007,0252,9999,9999, ,85541      ,4,8,12,,Payson town,164,164,20594499,0,0,0,0,0,0,0,0,0,164,164,20594499,0,0,0,0,0,0,0,0,0
2001,04,253000,013,0255,6200,9999, ,85345      ,4,8,12,,Peoria,1752,1752,218134917,6,12,398794,0,0,0,33,548,29831584,1752,1752,218134917,6,12,398794,0,0,0,33,548,29831584
2001,04,257000,013,0260,6200,9999, ,85003      ,4,8,12,,Phoenix,5501,5501,849001008,39,78,4638052,18,69,4026228,242,3985,179216441,5501,5501,849001008,39,78,4638052,18,69,4026228,242,3985,179216441
2001,04,261000,019,    ,8520,9999, ,85701      ,4,8,12,,Pima County Unincorporated Area,2213,2213,381102367,0,0,0,0,0,0,12,192,13386030,2213,2213,381102367,0,0,0,0,0,0,12,192,13386030
2001,04,265000,009,0265,9999,9999, ,85543      ,4,8,12,,Pima town,6,6,590000,0,0,0,0,0,0,0,0,0,6,6,590000,0,0,0,0,0,0,0,0,0
2001,04,269000,021,    ,6200,9999, ,85232      ,4,8,12,,Pinal County Unincorporated Area,1946,1946,211681765,17,34,1819947,12,42,2189872,0,0,0,1946,1946,211681765,17,34,1819947,12,42,2189872,0,0,0
2001,04,273000,017,0269,9999,9999, ,85929      ,4,8,12,,Pinetop-Lakeside town,52,52,8880000,1,2,100000,0,0,0,0,0,0,52,52,8880000,1,2,100000,0,0,0,0,0,0
2001,04,277000,025,0280,9999,9999, ,86301      ,4,8,12,,Prescott,521,521,84621154,0,0,0,1,3,149934,5,37,3861403,521,521,84621154,0,0,0,1,3,149934,5,37,3861403
2001,04,281000,025,0282,9999,9999, ,863142275  ,4,8,12,,Prescott Valley town,394,394,32167686,29,58,3265660,4,14,418040,0,0,0,394,394,32167686,29,58,3265660,4,14,418040,0,0,0
