Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep,
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8499,4,14300,17,9999,,4,8,0,0,SNOWFLAKE TOWN . . . . . . . . . .,22,22,1150906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,4,14325,27,9999,,4,8,12,12,SOMERTON TOWN. . . . . . . . . . .,32,32,1478325,0,0,0,0,0,0,0,0,0,32,32,1478325,0,0,0,0,0,0,0,0,0
8499,4,14350,19,8520,,4,8,12,12,SOUTH TUCSON . . . . . . . . . . .,4,4,180299,0,0,0,0,0,0,0,0,0,4,4,180299,0,0,0,0,0,0,0,0,0
8499,4,14375,1,9999,,4,8,10,10,SPRINGERVILLE TOWN . . . . . . . .,12,12,603708,0,0,0,0,0,0,0,0,0,12,12,603708,0,0,0,0,0,0,0,0,0
8499,4,14380,21,9999,,4,8,10,10,SUPERIOR TOWN. . . . . . . . . . .,2,2,39456,0,0,0,0,0,0,0,0,0,2,2,39456,0,0,0,0,0,0,0,0,0
8499,4,14400,13,6200,,4,8,12,12,SURPRISE TOWN. . . . . . . . . . .,7,7,184220,0,0,0,3,12,178000,0,0,0,7,7,184220,0,0,0,3,12,178000,0,0,0
8499,4,14450,17,9999,,4,8,12,12,TAYLOR TOWN. . . . . . . . . . . .,6,6,355000,0,0,0,0,0,0,0,0,0,6,6,355000,0,0,0,0,0,0,0,0,0
8499,4,14500,13,6200,,4,8,12,12,TEMPE. . . . . . . . . . . . . . .,972,972,74147100,12,24,739600,33,132,4077000,196,2566,71694100,972,972,74147100,12,24,739600,33,132,4077000,196,2566,71694100
8499,4,15000,9,9999,,4,8,12,12,THATCHER TOWN. . . . . . . . . . .,16,16,736000,0,0,0,0,0,0,0,0,0,16,16,736000,0,0,0,0,0,0,0,0,0
8499,4,15500,13,6200,,4,8,12,12,TOLLESON . . . . . . . . . . . . .,6,6,332966,1,2,58524,0,0,0,5,76,1668985,6,6,332966,1,2,58524,0,0,0,5,76,1668985
8499,4,16000,3,9999,,4,8,12,12,TOMBSTONE. . . . . . . . . . . . .,3,3,105000,0,0,0,0,0,0,0,0,0,3,3,105000,0,0,0,0,0,0,0,0,0
8499,4,16500,19,8520,,4,8,12,12,TUCSON . . . . . . . . . . . . . .,1042,1042,52635993,125,250,7571198,49,181,4710494,186,4277,95162763,1042,1042,52635993,125,250,7571198,49,181,4710494,186,4277,95162763
8499,4,16700,27,9999,,4,8,0,0,WELLTON TOWN . . . . . . . . . . .,1,1,37812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
