Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,04,257000,013,0260,6200,9999, ,85003      ,4,8,12,,Phoenix,7116,7116,1147461234,30,60,4475999,22,87,4093606,117,2012,97743683,7116,7116,1147461234,30,60,4475999,22,87,4093606,117,2012,97743683
2002,04,261000,019,    ,8520,9999, ,85701      ,4,8,12,,Pima County Unincorporated Area,2310,2310,428211150,0,0,0,1,4,245592,2,158,15860014,2310,2310,428211150,0,0,0,1,4,245592,2,158,15860014
2002,04,265000,009,0265,9999,9999, ,85543      ,4,8,0,,Pima town,6,6,590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,269000,021,    ,6200,9999, ,85232      ,4,8,12,,Pinal County Unincorporated Area,3361,3361,364872371,44,88,5190000,11,44,2127525,0,0,0,3361,3361,364872371,44,88,5190000,11,44,2127525,0,0,0
2002,04,273000,017,0269,9999,9999, ,85929      ,4,8,12,,Pinetop-Lakeside town,40,40,7217000,1,2,100000,2,8,432000,0,0,0,40,40,7217000,1,2,100000,2,8,432000,0,0,0
2002,04,277000,025,0280,9999,9999, ,86301      ,4,8,12,,Prescott,636,636,124232960,11,22,1713774,1,4,248563,10,183,12938585,636,636,124232960,11,22,1713774,1,4,248563,10,183,12938585
2002,04,281000,025,0282,9999,9999, ,863142275  ,4,8,12,,Prescott Valley town,601,601,90973248,47,94,9170525,4,14,1169827,21,234,17746655,601,601,90973248,47,94,9170525,4,14,1169827,21,234,17746655
2002,04,285000,012,0283,9999,9999, ,85346      ,4,8,12,,Quartzsite town,4,4,479442,0,0,0,0,0,0,0,0,0,4,4,479442,0,0,0,0,0,0,0,0,0
2002,04,289000,013,0284,6200,9999, ,852429311  ,4,8,12,,Queen Creek town,648,648,130715284,0,0,0,0,0,0,0,0,0,648,648,130715284,0,0,0,0,0,0,0,0,0
2002,04,293000,009,0298,9999,9999, ,85546      ,4,8,12,,Safford,2,2,112000,0,0,0,0,0,0,1,6,110000,2,2,112000,0,0,0,0,0,0,1,6,110000
2002,04,297000,027,0321,9360,9999, ,85349      ,4,8,12,,San Luis,309,309,19087075,0,0,0,7,27,840990,0,0,0,309,309,19087075,0,0,0,7,27,840990,0,0,0
2002,04,301000,023,    ,9999,9999, ,85621      ,4,8,12,,Santa Cruz County Unincorporated Area,346,346,38431983,1,2,99979,1,4,145000,1,5,327080,346,346,38431983,1,2,99979,1,4,145000,1,5,327080
2002,04,305000,013,0327,6200,9999,1,85251      ,4,8,12,,Scottsdale,1328,1328,209939990,4,8,799248,14,43,3779587,52,544,38944977,1328,1328,209939990,4,8,799248,14,43,3779587,52,544,38944977
2002,04,313000,025,0331,9999,9999, ,86336      ,4,8,12,,Sedona,95,95,17736939,0,0,0,4,15,911776,2,20,776978,95,95,17736939,0,0,0,4,15,911776,2,20,776978
2002,04,317000,017,0337,9999,9999, ,85901      ,4,8,12,,Show Low,175,175,24540959,0,0,0,0,0,0,0,0,0,175,175,24540959,0,0,0,0,0,0,0,0,0
2002,04,321000,003,0338,9999,9999, ,85635      ,4,8,7,,Sierra Vista,372,372,25997298,0,0,0,0,0,0,0,0,0,242,242,16662494,0,0,0,0,0,0,0,0,0
2002,04,325000,017,0341,9999,9999, ,85937      ,4,8,0,,Snowflake town,14,14,1440510,0,0,0,0,0,0,2,10,439364,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,329000,027,0342,9360,9999, ,85350      ,4,8,12,,Somerton,113,113,7958604,0,0,0,6,24,1163034,0,0,0,113,113,7958604,0,0,0,6,24,1163034,0,0,0
2002,04,333000,019,0344,8520,9999, ,85725      ,4,8,0,,South Tucson,8,8,3760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,337000,001,0345,9999,9999, ,85938      ,4,8,12,,Springerville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,341000,001,0314,9999,9999, ,85936      ,4,8,12,,St. Johns,2,2,302740,0,0,0,0,0,0,0,0,0,2,2,302740,0,0,0,0,0,0,0,0,0
2002,04,345000,021,0359,6200,9999, ,85273      ,4,8,12,,Superior town,10,10,577148,0,0,0,0,0,0,0,0,0,10,10,577148,0,0,0,0,0,0,0,0,0
2002,04,349000,013,0361,6200,9999, ,85374      ,4,8,12,,Surprise,3124,3124,358963083,1,2,93820,0,0,0,1,256,13362752,3124,3124,358963083,1,2,93820,0,0,0,1,256,13362752
2002,04,353000,017,0366,9999,9999, ,85939      ,4,8,12,,Taylor town,38,38,3727000,0,0,0,0,0,0,0,0,0,38,38,3727000,0,0,0,0,0,0,0,0,0
2002,04,357000,013,0368,6200,9999, ,85281      ,4,8,12,,Tempe,76,76,8862700,1,2,92400,0,0,0,0,0,183200,76,76,8862700,1,2,92400,0,0,0,0,0,183200
2002,04,361000,009,0369,9999,9999, ,85552      ,4,8,0,,Thatcher town,23,23,2669934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
