"CMAPuid","CMAdguid","CMAname","CMApart","CMApop_2021","CMAtdwell_2021","CMAurdwell_2021","CMApop_2016","CMApop_2016a","CMAtdwell_2016a","CMAurdwell_2016a","CMAarea","CMAadj_2016","CMAir_2016","CMAir_2021","PRuid","CMAcode","CMAtype","XPRuid"
"13328","2021S0504328","Bathurst","0",31387,15658,14396,31110,31110,15385,13970,"2100.0493","0","0","0","13","328","D",
"13329","2021S0504329","Miramichi","0",27593,13238,12301,27523,27518,13016,11937,"7564.06","1","0","0","13","329","D",
"13330","2021S0504330","Campbellton","1",13330,6565,6131,15746,14679,7105,6606,"1525.4512","1","0","1","13","330","D","24"
"13335","2021S0504335","Edmundston","0",22144,10818,10266,23524,21955,10586,9908,"1582.3597","1","0","0","13","335","D",
"24403","2021S0504403","Matane","0",18474,10083,9171,17926,18894,10104,9007,"865.8684","1","0","0","24","403","D",
"24404","2021S0504404","Rimouski","0",53944,27299,25618,55349,53498,26645,24632,"772.9257","1","0","0","24","404","D",
"24405","2021S0504405","Rivière-du-Loup","0",30025,14696,13737,28902,28902,14010,12907,"543.0159","0","0","0","24","405","D",
"24406","2021S0504406","Baie-Comeau","0",26643,13252,12358,27692,27692,13146,12366,"682.8931","0","0","0","24","406","D",
"24408","2021S0503408","Saguenay","0",161567,79976,74809,160980,161520,78314,72700,"3133.5308","1","0","0","24","408","B",
"24410","2021S0504410","Alma","0",30331,14493,13815,32849,30771,14310,13652,"194.923","1","0","0","24","410","D",
"24411","2021S0504411","Dolbeau-Mistassini","0",15306,7639,6962,15673,15750,7429,6890,"647.7548","1","0","0","24","411","D",
"24412","2021S0504412","Sept-Îles","0",27729,13878,12293,28534,28534,13623,12275,"1750.4394","0","0","0","24","412","D",
"24421","2021S0503421","Québec","0",839311,411415,387954,800296,806406,385126,364477,"3499.4572","1","0","0","24","421","B",
"24423","2021S0504423","Sainte-Marie","0",13134,5630,5500,13565,13565,5857,5651,"107.5486","0","0","0","24","423","D",
"24428","2021S0504428","Saint-Georges","0",34833,16822,16137,32513,34176,15736,15253,"365.2126","1","0","0","24","428","D",
"24430","2021S0504430","Thetford Mines","0",28287,14392,13260,28448,27564,14015,12980,"405.9157","1","0","0","24","430","D",
"24433","2021S0503433","Sherbrooke","0",227398,113325,104650,212105,212105,106082,95577,"1458.0974","0","0","0","24","433","B",
"24437","2021S0504437","Cowansville","0",15234,7247,6980,13656,13656,6272,5992,"46.8746","0","0","0","24","437","D",
